country,total,density,paved_km,paved_km_2,unpaved_km,unpaved_km_2,controlled_access_km,controlled_access_km_2,source_year,iso3c,gdp_pc,pop,continent
Poland,423997,136,291000,69,129000,30,4935,1.2,2022,POL,NA,NA,Europe
Bangladesh,369105,250,110311,30,258794,70,55,0,2018,BGD,1963.41185467584,163683958,Asia
Argentina,281290,10,117616,42,163674,58,4423,1.6,2017,ARG,14613.041824658,44044811,Americas
Pakistan,263775,33,185063,70,78712,30,3076,1.2,2022,PAK,NA,NA,Asia
Malaysia,238823,72,116169,49,28234,12,2001,0.8,2016,MYS,9555.65120152294,31526418,Asia
Iran,223485,14,195485,87,28000,13,NA,NA,2018,IRN,3873.99534020792,85617562,Asia
Saudi Arabia,221372,10,47529,21,173843,79,3891,1.8,2006,SAU,14848.602058303,25382870,Asia
Philippines,216387,72,61093,28,155294,72,626,0.3,2020,PHL,3224.42255131214,112190977,Asia
Hungary,210791,227,77087,37,126514,60,1481,0.7,2018,HUN,16425.1012999059,9775564,Europe
Uzbekistan,209496,47,120289,57,89207,43,3993,1.9,2021,UZB,1983.06472288992,34915100,Asia
Nigeria,195000,21,60000,31,135000,69,NA,NA,2017,NGA,1941.87948520625,193495907,Africa
Kenya,177800,30,14420,8,147032,83,NA,NA,2018,KEN,1845.78294001398,49953304,Africa
Ukraine,169694,28,166095,98,3599,2,17,0,2012,UKR,4004.80444335938,45593342,Europe
Myanmar,157000,23,34700,22,122300,78,NA,NA,2013,MMR,1195.93779969734,50648334,Asia
DR Congo,152373,6,3047,2,149326,98,NA,NA,2015,COD,482.0645483336,78656904,Africa
Uganda,146000,60,4257,3,16287,11,NA,NA,2019,UGA,823.138950454868,42949080,Africa
Peru,140672,11,24593,17,116079,83,326,0,2012,PER,6475.68607048931,29749589,Americas
Mali,139107,11,0,0,139107,100,NA,NA,2018,MLI,856.356531797333,19934298,Africa
Algeria,104000,4,71656,56,32344,25,NA,NA,2015,DZA,4197.42136055142,39543154,Africa
Ethiopia,120171,11,0,0,120171,100,NA,NA,2018,ETH,758.299059582623,111129438,Africa
Belgium,118414,388,118414,100,0,0,1747,1.5,2015,BEL,41008.296719472,11274196,Europe
Greece,117000,89,117000,100,0,0,2368,2,2018,GRC,19756.990456255,10732882,Europe
Sri Lanka,114093,174,16977,15,97116,85,NA,NA,2010,LKA,2893.93489884978,20261738,Asia
South Korea,110714,111,92795,84,7633,7,4767,4.3,2018,KOR,33436.9230646064,51585058,Asia
Ghana,109515,46,13787,13,95728,87,NA,NA,2009,GHA,1043.9804678131,24950762,Africa
Ireland,99830,142,99830,100,NA,NA,2717,3,2018,IRL,79250.3878517684,4867316,Europe
Zimbabwe,97267,25,18481,15,78786,62,NA,NA,2019,ZWE,1421.86859641758,15354608,Africa
New Zealand,96817,36,64957,67,31860,33,232,0.2,2020,NZL,41596.5055023403,5090200,Oceania
Kazakhstan,95409,4,13787,14,95728,100,NA,NA,2017,KAZ,9247.58133129626,18037776,Asia
Tanzania,87581,9,10025,11,77556,89,NA,NA,2015,TZA,928.806457519531,52542823,Africa
Romania,86494,36,49873,58,34312,40,910,1,2020,ROU,13047.4320617591,19265250,Europe
Lithuania,84166,129,72297,86,11869,14,309,0,2014,LTU,16551.018202078,2932367,Europe
Uruguay,77732,44,7743,10,69989,90,NA,NA,2010,URY,12015.7098522638,3352651,Americas
Zambia,67671,9,14888,22,52783,78,NA,NA,2018,ZMB,1475.20453821416,17835893,Africa
Czech Republic,55744,71,55744,100,NA,NA,1252,2,2018,CZE,23424.4804601855,10629928,Europe
Cambodia,55000,30,12239,22,35024,64,NA,NA,2014,KHM,1098.07453750857,15210817,Asia
Ecuador,43216,17,8161,19,35055,81,NA,NA,2015,ECU,6130.58667556768,16195902,Americas
Taiwan,41475,NA,42793,103,413,1,1053,2.5,2019,TWN,NA,NA,Asia
Chad,40000,3,25000,63,15000,38,NA,NA,2018,TCD,720.265046964353,15604210,Africa
Laos,39586,17,5415,14,34171,86,NA,NA,2009,LAO,936.790321410614,6229930,Asia
