branch_code,bic_code_swift,bank_name,bank_branch,bank_branch_address,city,bank_phone,bank_fax
101021,NEDSZAJJ,NEDBANK LIMITED,PRETORIA G4S,"NEDBANK RIDGESIDE CAMPUS, 2 NCONDO PLACE, DURBAN",KWAZULU NATAL,"(012 ), 366-2017","(012 ), 011 495-8345"
159745,NEDSZAJJ,NEDBANK LIMITED,PRETORIA NORTH,"SHOP 51-54 NORTHPARK SHOPPING CENTRE, CNR BURGER & RACHEL DE BEER,",,"(012 ), 546-7702","(012 ), 520-0580"
159545,NEDSZAJJ,NEDBANK LIMITED,PRETORIA SHOW GROUND,"SAP COLLEGE 4TH AVENUE, ,",,"(012), 327-3554","(012), 327-4094"
193042,NEDSZAJJ,NEDBANK LIMITED,PRIMROSE,"SHOPRITE CENTRE, RIETFONTEIN, PRIMROSE",GAUTENG,"(011 ), 842-0000","(011 ), 842-0025"
186242,NEDSZAJJ,NEDBANK LIMITED,PRINCESS AVENUE BENONI,"BENONI PLAZA, SHOP NO. 2,3 & 4, PRINCES AVENUE, BENONI",GAUTENG,"(011), 747-9800/12","(011), 747-9830/19/21"
109007,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK 135 RIVONIA RD,"135 RIVONIA ROAD BLOCK G FLOOR 4, , SANDTON",GAUTENG,"(011), 294-0111","(011), 294-0111"
109570,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK BROOKLYN,"1ST FLOOR LOBBY1, BANK FORUM BUILDING CNR VEALE, & FEHRSEN STREETS, NEW MUCKLENEUK",GAUTENG,"(012), 452-9000","(012), 452-9080"
109578,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK CAPE,"NEDBANK CENTRE 10TH FLOOR, 57 HEERENGRACHT, CAPE TOWN",WESTERN CAPE,"(021), 412-3500","(021), 412-5009"
109987,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK CAPE OLD,"NEDBANK CLOCK TOWER, V & A WATERFRONT 4TH FLOOR, CAPE TOWN",WESTERN CAPE,"(021), 416-7400","(021), 416-9037"
109009,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK CAPE TOWN,"NEDBANK CENTRE 10TH FLOOR, 57 HEERENGRACHT STREET, CAPE TOWN",WESTERN CAPE,"(021), 412-3000","(021), 412-5010"
109577,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK CBD,"NEDBANK CENTRE 10TH FLOOR, 57 HEERENGRACHT STREET, CAPE TOWN",WESTERN CAPE,"(021), 412-3000","(021), 412-5009"
109576,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK CBD & VAAL,"THE GLEN SHOPPING CENTRE, SHOP U1 CNR LETABA &, ORPEN STR EASTCLIFF OAKDENE,",GAUTENG,"(011), 681-5741","(011), 681-5752"
109572,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK CENTURION,"1ST FLOOR JEAN VILLAGE SHOPPING CENTRE, C/O JEAN AVE & GERHARD, CENTURION",GAUTENG,"(012), 644-4600","(012), 644-4616"
109560,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK CLAREMONT,"1 KILDARE ROAD, , CLAREMONT",WESTERN CAPE,"(021), 673-6140","(021), 673-6141"
109569,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK CLEARWATER,"GROUND FLOOR BUILDING 5, CLEARWATER OFFICE PARK, C/O CHRISTIAAN DE WET & MILLENNIUM, ROODEPOORT",GAUTENG,"(011), 288-1800","(011), 288-1807"
109964,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK CREDIT,"GROUND FLOOR FORUM 4 BRAAMPARK, 33 HOOFD STREET, BRAAMFONTEIN",GAUTENG,"(011), 294-0111","(011), 294-0111"
109564,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK EASTGATE,"EASTGATE OFFICE PARK, BLOCK A GROUND FLOOR, 24P SOUTH BOULEVARD BRUMA,",GAUTENG,"(011), 607-0300","(011), 607-0328"
109571,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK FREE STATE,"1ST FLOOR SHOP 27 & 28 PRELLER, SQUARE LOUW WEPENER, BLOEMFONTEIN",FREE STATE,"(051), 406-1438","(051), 406-1443"
109273,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK HEAD OFFICE,"135 RIVONIA ROAD BLOCK G FLOOR 4, , SANDOWN",GAUTENG,"(011), 294-0111","(011), 294-0111"
109561,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK HILLCREST,"6 BISHOPS COURT, DELAMORE ROAD, HILLCREST",KWA-ZULU NATAL,"(031), 761-7000","(031), 761-7030"
109574,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK JHB SOUTH SUBURB,"THE GLEN SHOPPING CENTRE, SHOP U1, CNR LETABA & ORPEN STR EASTCLIFF OAKDENE,",GAUTENG,"(011), 681-5700","(011), 435-8219"
109220,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK JOZI OLD,"3RD FLOOR SOUTH TOWERS NELSON MANDELA SQAURE, CNR 5TH & MAUDE STREET, SANDTON",GAUTENG,"(011), 217-6300","(011), 217-6380"
109575,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK JOZI REGION,"MEZZANINE FLOOR OFFICE TOWERS, SANDTON CITY, SANDTON",GAUTENG,"(011), 217-6300","(011), 217-6380"
109559,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK KWAZULU,"6 BISHOPS COURT DELAMORE ROAD, , HILLCREST DURBAN",KWA-ZULU NATAL,"(031), 761-7000","(031), 761-7030"
109008,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK KZN OLD,"PRIVATE BANK HOUSE 4TH BOULEVARD, WESTWAY OFFICE PARK, WESTVILLE",KWA-ZULU NATAL,"(031), 251-7100","(031), 251-7152"
109680,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK MANDELA SQ,"3RD FLOOR SOUTH TOWERS, NELSON MANDELA SQUARE, CNR 5TH & MAUDE STREET, SANDTON",GAUTENG,"(011), 217-6300","(011), 217-6380"
109336,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK MARKETING,"3RD FLOOR BLOCK G 135 RIVONIA ROAD, , SANDOWN",GAUTENG,"(011), 295-5572","(011), 294-5572"
109011,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK NEDHILL,"NEDHILL OFFICE PARK GROUND FLOOR, 665 DUNCAN STR CNR LUNNON STREET, HILLCREST PRETORIA",GAUTENG,"(012), 366-2000","(012), 366-2321"
109562,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK NORTH,"SOMERSET OFFICE PARK, 5 LIBERTAS ROAD, BRYANSTON",GAUTENG,"(011), 288-1800","(011), 288-1807"
109030,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK PERSONAL BANK,"135 RIVONIA ROAD BLOCK G FLOOR 6, , SANDOWN",GAUTENG,"(011), 295-5262","(011), 294-5262"
109565,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK PMB,"1ST FLOOR MAHOGANY COURT, REDLANDS ESTATE, 1 GEORGE MACFARLAN LANE WEMBLEY, PIETERMARITZBURG",KWA-ZULU NATAL,"(033), 264-6200","(033), 264-6288"
109568,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK PRETORIA,"NEDHILL OFFICE PARK GROUND FLOOR, 665 DUCAN STR CNR LUNNON, HILLCREST PRETORIA",GAUTENG,"(012), 366-2026","(012), 366-2321"
109221,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK PTA OLD,"NEDHILL OFFICE PARK GROUND FLOOR, 665 DUCAN STREET CNR LUNNON STREET, HILLCREST",GAUTENG,"(012), 366-2000","(012), 366-2321"
109402,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK RIVONIA 1,"135 RIVONIA ROAD, BLOCK E FLOOR 1, SANDTON",GAUTENG,"(011), 294-0111","(011), 294-0111"
109403,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK RIVONIA 2,"135 RIVONIA ROAD BLOCK G FLOOR 4, , SANDTON",GAUTENG,"(011), 294-0111","(011), 294-0111"
109404,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK RIVONIA EXEC,"135 RIVONIA ROAD BLOCK G FLOOR 4, , SANDTON",GAUTENG,"(011), 294-0111","(011), 294-0111"
109675,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK TYGER VALLEY,"NEDBANK CENTRE 10TH FLOOR, 57 HEERENGRACHT, CAPE TOWN",WESTERN CAPE,"(021), 412-3000","(021), 412-5009"
109579,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK VAAL,"1ST FLOOR VAAL SHOPPING MALL, CNR BARRAGE & ROSSINI BOULEVARD, VANDERBIJLPARK",GAUTENG,"(016), 980-0040","(016), 980-0050"
109697,NEDSZAJJ,NEDBANK LIMITED,PRIVATE BANK WESTVILLE,"PRIVATE BANK HOUSE 9 THE BOULEVARD, WESTWAY OFFICE PARK, WESTVILLE",KWA-ZULU NATAL,"(031), 251-7100","(031), 251-7152"
101236,NEDSZAJJ,NEDBANK LIMITED,PROFESSIONAL BUSINESS,"NEDBANK, 135 RIVONIA RD, H BLOCK, 5TH FLOOR, , SANDTON",GAUTENG,011 294-4444,011 295-5555
163926,NEDSZAJJ,NEDBANK LIMITED,PROJECT MANAGEMENT,"10TH FLOOR, 100 MAIN STREET, JOHANNESBURG","JOHANNESBURG , GAUTENG","(011 ), 630-7967","(011 ), 630-6928"
101214,NEDSZAJJ,NEDBANK LIMITED,PROMENADE MITCHELLS PLAIN,"SHOP 4, PROMENADE MALL SHOPPING CENTRE, CNR AZ BERMAN & MORGENTER ROAD, MITCHELLE PLAIN",WESTERN CAPE,021 370-3000,021 370-3001
147305,NEDSZAJJ,NEDBANK LIMITED,PROPERTY & ASSET FINANCE,"BUSINESS SOLUTIONS, 90 ORDNANCE ROAD,","DURBAN , KWAZULU NATAL","(031), 364-1111","(031), 634-2920"
153827,NEDSZAJJ,NEDBANK LIMITED,PROSPECTON,"SHOP 1, 38 CNR JOYNER ROAD & PROSPECTON ROAD, PROSPECTON",KWA-ZULU NATAL,031 913-7340,031 913-7358
